AV instant,AV mean
0.41774046666666664,7.599999999996498e-05
7.673333333334161e-05,7.63666666666533e-05
5.2866666666654774e-05,6.853333333332046e-05
7.04000000000112e-05,6.899999999999314e-05
5.9000000000016444e-05,6.69999999999978e-05
7.053333333330395e-05,6.758888888888215e-05
7.626666666666892e-05,6.882857142856599e-05
8.226666666667862e-05,7.050833333333006e-05
6.459999999997024e-05,6.985185185184563e-05
6.460000000002945e-05,6.932666666666402e-05
8.786666666669163e-05,7.101212121212107e-05
4.699999999999704e-05,6.901111111111074e-05
8.199999999997468e-05,7.001025641025412e-05
6.446666666667747e-05,6.961428571428436e-05
8.19333333332987e-05,7.043555555555199e-05
4.6866666666704285e-05,6.8962499999999e-05
7.606666666664097e-05,6.938039215686029e-05
0.0001112,7.606666666666667e-05
6.433333333333333e-05,7.02e-05
7.033333333333333e-05,7.024444444444444e-05
7.026666666666665e-05,7.025e-05
7.600000000000003e-05,7.14e-05
8.766666666666668e-05,7.411111111111111e-05
6.426666666666664e-05,7.270476190476191e-05
7.626666666666673e-05,7.315e-05
6.99333333333333e-05,7.27925925925926e-05
5.81333333333333e-05,7.132666666666667e-05
7.026666666666662e-05,7.123030303030303e-05
7.600000000000003e-05,7.162777777777778e-05
5.84e-05,7.061025641025641e-05
7.020000000000001e-05,7.058095238095239e-05
8.193333333333328e-05,7.133777777777777e-05
8.159999999999996e-05,7.197916666666666e-05
7.013333333333339e-05,7.187058823529412e-05
7.013333333333339e-05,7.177407407407407e-05
8.206666666666662e-05,7.231578947368421e-05
5.833333333333339e-05,7.161666666666667e-05
7.013333333333339e-05,7.154603174603176e-05
6.44666666666666e-05,7.122424242424243e-05
6.993333333333342e-05,7.116811594202899e-05
7.633333333333312e-05,7.138333333333332e-05
6.960000000000021e-05,7.131200000000001e-05
7.699999999999999e-05,7.153076923076924e-05
7.559999999999997e-05,7.168148148148148e-05
7.033333333333335e-05,7.163333333333333e-05
6.993333333333342e-05,7.157471264367816e-05
5.859999999999986e-05,7.114222222222222e-05
7.579999999999995e-05,7.129247311827957e-05
8.800000000000012e-05,7.181458333333334e-05
5.846666666666639e-05,7.141010101010101e-05
7.633333333333335e-05,7.155490196078431e-05
7.080000000000003e-05,7.153333333333333e-05
8.133333333333325e-05,7.180555555555555e-05
7.646666666666681e-05,7.193153153153153e-05
5.886666666666679e-05,7.158771929824562e-05
7.140000000000016e-05,7.158290598290599e-05
9.119999999999961e-05,7.207333333333333e-05
5.946666666666693e-05,7.176585365853659e-05
6.953333333333302e-05,7.171269841269841e-05
7.14666666666669e-05,7.170697674418604e-05
8.153333333333346e-05,7.193030303030304e-05
7.559999999999974e-05,7.201185185185185e-05
6.573333333333339e-05,7.187536231884058e-05
6.546666666666691e-05,7.173900709219859e-05
8.733333333333324e-05,7.206388888888889e-05
6.973333333333322e-05,7.201632653061225e-05
7.07333333333333e-05,7.199066666666666e-05
6.946666666666675e-05,7.194117647058823e-05
7.693333333333349e-05,7.203717948717949e-05
8.039999999999992e-05,7.219496855345912e-05
7.10666666666665e-05,7.217407407407407e-05
7.626666666666662e-05,7.224848484848485e-05
5.179999999999999e-05,7.188333333333334e-05
8.646666666666664e-05,7.21391812865497e-05
5.980000000000059e-05,7.19264367816092e-05
8.939999999999967e-05,7.22225988700565e-05
7.700000000000022e-05,7.230222222222223e-05
7.006666666666643e-05,7.22655737704918e-05
6.966666666666695e-05,7.22236559139785e-05
6.959999999999929e-05,7.218201058201058e-05
7.706666666666695e-05,7.225833333333333e-05
8.540000000000029e-05,7.246051282051283e-05
5.9199999999999996e-05,7.225959595959596e-05
7.706666666666603e-05,7.233134328358208e-05
5.7866666666667174e-05,7.211862745098039e-05
6.373333333333323e-05,7.199710144927537e-05
8.379999999999961e-05,7.216571428571427e-05
6.640000000000072e-05,7.208450704225353e-05
7.579999999999995e-05,7.213611111111112e-05
6.953333333333348e-05,7.210045662100458e-05
7.533333333333281e-05,7.214414414414414e-05
6.600000000000032e-05,7.206222222222222e-05
8.20666666666664e-05,7.21938596491228e-05
6.06666666666672e-05,7.204415584415585e-05
8.506666666666663e-05,7.221111111111112e-05
7.673333333333328e-05,7.226835443037975e-05
7.04000000000001e-05,7.224500000000001e-05
6.993333333333296e-05,7.221646090534979e-05
7.093333333333303e-05,7.220081300813008e-05
8.31333333333332e-05,7.233253012048192e-05
6.986666666666715e-05,7.23031746031746e-05
5.239999999999967e-05,7.206901960784313e-05
7.513333333333354e-05,7.210465116279069e-05
7.153333333333364e-05,7.209808429118774e-05
8.20666666666664e-05,7.221136363636363e-05
7.453333333333293e-05,7.22374531835206e-05
7.326666666666684e-05,7.224888888888889e-05
8.086666666666706e-05,7.234358974358975e-05
6.573333333333339e-05,7.227173913043478e-05
5.9999999999999866e-05,7.213978494623656e-05
6.860000000000014e-05,7.210212765957448e-05
7.159999999999944e-05,7.209684210526316e-05
7.380000000000072e-05,7.211458333333333e-05
7.159999999999944e-05,7.210927835051546e-05
6.146666666666707e-05,7.200068027210884e-05
7.099999999999976e-05,7.199057239057239e-05
8.846666666666632e-05,7.215533333333334e-05
7.226666666666678e-05,7.215643564356436e-05
6.45333333333331e-05,7.208169934640523e-05
7.233333333333351e-05,7.2084142394822e-05
7.753333333333316e-05,7.213653846153846e-05
6.840000000000086e-05,7.210095238095239e-05
7.173333333333291e-05,7.209748427672956e-05
6.966666666666695e-05,7.20747663551402e-05
8.846666666666632e-05,7.222654320987654e-05
5.8066666666666454e-05,7.209663608562692e-05
7.620000000000035e-05,7.21339393939394e-05
6.45333333333331e-05,7.206546546546547e-05
7.540000000000046e-05,7.20952380952381e-05
7.320000000000011e-05,7.210501474926254e-05
7.613333333333268e-05,7.214035087719298e-05
6.673333333333346e-05,7.209333333333334e-05
8.05333333333343e-05,7.2166091954023e-05
7.539999999999954e-05,7.21937321937322e-05
7.459999999999874e-05,7.22141242937853e-05
7.106666666666743e-05,7.220448179271709e-05
6.373333333333416e-05,7.21338888888889e-05
7.25999999999986e-05,7.213774104683195e-05
7.686666666666768e-05,7.217650273224043e-05
7.106666666666557e-05,7.216747967479674e-05
7.686666666666768e-05,7.220537634408603e-05
7.846666666666557e-05,7.225546666666666e-05
5.873333333333471e-05,7.214814814814816e-05
8.166666666666693e-05,7.22230971128609e-05
6.779999999999934e-05,7.218854166666667e-05
8.279999999999955e-05,7.227080103359172e-05
5.7066666666666376e-05,7.215384615384615e-05
6.946666666666767e-05,7.213333333333334e-05
8.686666666666658e-05,7.22449494949495e-05
7.11333333333323e-05,7.223659147869674e-05
6.533333333333391e-05,7.218507462686567e-05
8.27333333333328e-05,7.226320987654321e-05
6.766666666666772e-05,7.222941176470588e-05
7.11333333333323e-05,7.22214111922141e-05
6.85333333333334e-05,7.219468599033816e-05
7.600000000000014e-05,7.22220623501199e-05
7.286666666666738e-05,7.222666666666666e-05
7.420000000000019e-05,7.224066193853429e-05
7.286666666666552e-05,7.22450704225352e-05
5.293333333333446e-05,7.211002331002332e-05
8.053333333333246e-05,7.216851851851852e-05
7.780000000000009e-05,7.220735632183908e-05
6.720000000000059e-05,7.217305936073059e-05
7.693333333333255e-05,7.220544217687075e-05
7.600000000000014e-05,7.223108108108108e-05
6.053333333333281e-05,7.215257270693512e-05
7.593333333333341e-05,7.217777777777777e-05
7.406666666666673e-05,7.219028697571744e-05
7.5000000000001e-05,7.220877192982457e-05
6.546666666666553e-05,7.216470588235293e-05
8.173333333333366e-05,7.222683982683982e-05
6.540000000000064e-05,7.218279569892473e-05
5.966666666666713e-05,7.210256410256411e-05
7.793333333333355e-05,7.213970276008493e-05
7.799999999999844e-05,7.217679324894515e-05
6.166666666666728e-05,7.211069182389937e-05
7.493333333333426e-05,7.212833333333333e-05
7.693333333333255e-05,7.215817805383023e-05
6.173333333333401e-05,7.209382716049383e-05
7.493333333333241e-05,7.211124744376277e-05
7.533333333333281e-05,7.213089430894308e-05
8.480000000000155e-05,7.220767676767677e-05
5.966666666666527e-05,7.213212851405622e-05
5.866666666666798e-05,7.205149700598803e-05
8.379999999999869e-05,7.212142857142857e-05
7.806666666666703e-05,7.215660749506904e-05
6.906666666666727e-05,7.213843137254902e-05
6.073333333333301e-05,7.207173489278753e-05
7.120000000000089e-05,7.206666666666667e-05
7.69999999999993e-05,7.2095183044316e-05
6.759999999999914e-05,7.206934865900383e-05
6.546666666666737e-05,7.203161904761905e-05
8.626666666666597e-05,7.21125e-05
6.079999999999974e-05,7.204858757062147e-05
7.233333333333351e-05,7.205018726591759e-05
7.920000000000149e-05,7.209013035381751e-05
7.006666666666643e-05,7.20788888888889e-05
7.459999999999874e-05,7.2092817679558e-05
5.853333333333451e-05,7.201831501831502e-05
7.579999999999995e-05,7.203897996357013e-05
7.806666666666703e-05,7.207173913043479e-05
6.659999999999999e-05,7.204216216216217e-05
6.779999999999934e-05,7.201935483870967e-05
8.506666666666663e-05,7.20891265597148e-05
6.426666666666618e-05,7.204751773049645e-05
7.120000000000089e-05,7.204303350970018e-05
7.11333333333323e-05,7.203824561403508e-05
7.240000000000024e-05,7.204013961605584e-05
8.533333333333356e-05,7.2109375e-05
5.493333333333276e-05,7.202037996545768e-05
9.979999999999989e-05,7.216357388316151e-05
6.220000000000115e-05,7.211247863247864e-05
6.53999999999988e-05,7.2078231292517e-05
7.120000000000089e-05,7.207377326565143e-05
6.986666666666622e-05,7.206262626262626e-05
6.920000000000075e-05,7.204824120603015e-05
8.639999999999944e-05,7.212e-05
6.860000000000014e-05,7.210248756218905e-05
7.120000000000089e-05,7.20980198019802e-05
7.679999999999909e-05,7.212118226600986e-05
5.146666666666633e-05,7.201993464052287e-05
7.806666666666703e-05,7.204943089430894e-05
6.673333333333346e-05,7.202362459546926e-05
6.666666666666672e-05,7.199774557165862e-05
7.679999999999909e-05,7.202083333333333e-05
7.113333333333416e-05,7.201658692185008e-05
6.406666666666597e-05,7.197873015873016e-05
7.240000000000024e-05,7.198072669826225e-05
8.546666666666702e-05,7.204433962264151e-05
7.073333333333376e-05,7.203818466353677e-05
5.560000000000009e-05,7.19613707165109e-05
7.240000000000024e-05,7.196341085271318e-05
6.233333333333277e-05,7.191882716049382e-05
7.673333333333236e-05,7.19410138248848e-05
6.806666666666813e-05,7.192324159021407e-05
5.099999999999919e-05,7.182770167427702e-05
