AV instant,AV mean,BPM
0.4178172666666667,5.333333333332746e-05,137.1268656716418
6.473333333332221e-05,5.903333333332483e-05,133.25946817082996
8.24000000000306e-05,6.682222222222675e-05,132.7247191011236
7.0333333333276e-05,6.769999999998907e-05,135.44226044226045
7.053333333336316e-05,6.826666666666389e-05,134.12408759124088
6.459999999997024e-05,6.765555555554828e-05,132.19424460431654
7.053333333336316e-05,6.806666666666468e-05,131.9832402234637
7.033333333333521e-05,6.83499999999985e-05,133.15217391304347
7.626666666666892e-05,6.922962962962856e-05,133.79854368932038
7.04000000000112e-05,6.934666666666681e-05,132.40592473979183
5.8599999999960536e-05,6.836969696969352e-05,131.9832402234637
6.446666666667747e-05,6.804444444444217e-05,132.51201923076923
6.44000000000015e-05,6.776410256410059e-05,133.47457627118644
9.366666666667337e-05,6.961428571428436e-05,132.40592473979183
4.6866666666645074e-05,6.809777777777507e-05,131.9832402234637
7.606666666670018e-05,6.85958333333329e-05,132.93810289389066
0.000117,5.8466666666666674e-05,132.3
7.606666666666667e-05,6.726666666666667e-05,132.19424460431654
7.020000000000001e-05,6.824444444444446e-05,133.79854368932038
8.186666666666666e-05,7.165e-05,133.0450522928399
6.413333333333335e-05,7.014666666666667e-05,132.3
7.599999999999996e-05,7.112222222222222e-05,132.08865814696486
7.60666666666667e-05,7.182857142857143e-05,133.58239095315025
7.026666666666662e-05,7.163333333333333e-05,133.47457627118644
7.026666666666662e-05,7.148148148148148e-05,132.3
6.44000000000001e-05,7.077333333333334e-05,132.08865814696486
8.746666666666659e-05,7.229090909090909e-05,133.25946817082996
6.433333333333337e-05,7.162777777777778e-05,132.83132530120483
6.99333333333333e-05,7.14974358974359e-05,132.3
8.193333333333339e-05,7.224285714285714e-05,131.9832402234637
7.033333333333335e-05,7.211555555555556e-05,132.61828388131516
6.99333333333332e-05,7.197916666666666e-05,134.01539708265804
7.62000000000001e-05,7.222745098039216e-05,132.3
6.999999999999993e-05,7.21037037037037e-05,131.9832402234637
8.186666666666666e-05,7.261754385964911e-05,133.0450522928399
6.41333333333334e-05,7.219333333333334e-05,133.36693548387098
7.599999999999991e-05,7.237460317460317e-05,132.40592473979183
8.193333333333339e-05,7.280909090909091e-05,131.9832402234637
6.460000000000008e-05,7.245217391304348e-05,133.15217391304347
5.859999999999986e-05,7.1875e-05,133.25946817082996
8.146666666666672e-05,7.225866666666667e-05,132.3
6.41333333333334e-05,7.194615384615385e-05,132.08865814696486
6.426666666666664e-05,7.166172839506173e-05,132.83132530120483
7.593333333333341e-05,7.181428571428571e-05,132.83132530120483
7.653333333333331e-05,7.197701149425289e-05,132.3
8.119999999999979e-05,7.228444444444445e-05,132.19424460431654
6.40666666666669e-05,7.201935483870969e-05,133.15217391304347
7.586666666666668e-05,7.213958333333335e-05,133.47457627118644
7.05333333333331e-05,7.209090909090909e-05,132.40592473979183
8.220000000000033e-05,7.238823529411766e-05,131.9832402234637
7.613333333333314e-05,7.249523809523811e-05,132.40592473979183
7.666666666666655e-05,7.261111111111112e-05,132.7247191011236
6.886666666666661e-05,7.250990990990992e-05,132.19424460431654
6.473333333333331e-05,7.230526315789473e-05,131.9832402234637
6.346666666666677e-05,7.207863247863248e-05,132.19424460431654
9.360000000000016e-05,7.261666666666668e-05,132.40592473979183
7.13999999999997e-05,7.25869918699187e-05,132.19424460431654
5.8933333333333524e-05,7.226190476190476e-05,131.9832402234637
8.17333333333332e-05,7.248217054263567e-05,132.40592473979183
8.146666666666672e-05,7.268636363636364e-05,132.40592473979183
6.540000000000018e-05,7.252444444444445e-05,132.19424460431654
7.033333333333335e-05,7.247681159420291e-05,131.9832402234637
7.593333333333341e-05,7.255035460992908e-05,131.9832402234637
6.419999999999991e-05,7.237638888888889e-05,132.3
7.033333333333335e-05,7.233469387755103e-05,132.08865814696486
7.04000000000001e-05,7.229600000000001e-05,131.9832402234637
8.653333333333291e-05,7.257516339869281e-05,131.9832402234637
7.653333333333354e-05,7.265128205128205e-05,132.08865814696486
7.586666666666668e-05,7.27119496855346e-05,132.08865814696486
5.833333333333339e-05,7.244567901234569e-05,132.08865814696486
7.07333333333333e-05,7.241454545454546e-05,131.9832402234637
8.126666666666652e-05,7.257261904761904e-05,132.08865814696486
5.980000000000013e-05,7.234853801169591e-05,132.19424460431654
8.093333333333379e-05,7.249655172413794e-05,132.08865814696486
7.813333333333284e-05,7.259209039548022e-05,131.9832402234637
8.399999999999982e-05,7.278222222222221e-05,132.08865814696486
7.426666666666692e-05,7.280655737704917e-05,132.08865814696486
5.833333333333339e-05,7.257311827956989e-05,131.9832402234637
6.49333333333335e-05,7.245185185185185e-05,132.08865814696486
9.253333333333335e-05,7.2765625e-05,132.08865814696486
6.373333333333323e-05,7.262666666666666e-05,132.19424460431654
8.199999999999966e-05,7.276868686868687e-05,131.9832402234637
5.24666666666664e-05,7.246567164179103e-05,131.9832402234637
7.620000000000035e-05,7.252058823529411e-05,132.19424460431654
7.573333333333321e-05,7.25671497584541e-05,132.3
7.75999999999999e-05,7.263904761904761e-05,132.08865814696486
6.0066666666666604e-05,7.246197183098591e-05,132.08865814696486
8.746666666666718e-05,7.267037037037037e-05,132.08865814696486
6.40666666666669e-05,7.255251141552511e-05,132.19424460431654
8.159999999999926e-05,7.267477477477476e-05,131.9832402234637
7.666666666666747e-05,7.2728e-05,132.08865814696486
6.506666666666605e-05,7.262719298245614e-05,132.19424460431654
7.5266666666667e-05,7.266147186147187e-05,132.3
6.933333333333329e-05,7.261880341880341e-05,131.9832402234637
8.360000000000034e-05,7.2757805907173e-05,132.08865814696486
6.399999999999924e-05,7.264833333333332e-05,132.19424460431654
7.14666666666669e-05,7.263374485596707e-05,132.3
6.506666666666697e-05,7.254146341463415e-05,132.08865814696486
7.626666666666614e-05,7.25863453815261e-05,131.9832402234637
6.986666666666715e-05,7.255396825396825e-05,132.19424460431654
8.093333333333285e-05,7.265254901960783e-05,132.19424460431654
6.506666666666697e-05,7.256434108527132e-05,131.9832402234637
6.873333333333361e-05,7.252030651340997e-05,132.08865814696486
7.619999999999941e-05,7.25621212121212e-05,132.19424460431654
6.980000000000042e-05,7.253108614232209e-05,132.3
8.366666666666615e-05,7.265481481481481e-05,131.9832402234637
7.04000000000001e-05,7.263003663003662e-05,132.08865814696486
7.033333333333335e-05,7.260507246376811e-05,132.19424460431654
7.160000000000037e-05,7.259426523297491e-05,132.19424460431654
5.933333333333346e-05,7.24531914893617e-05,131.9832402234637
8.659999999999964e-05,7.260210526315788e-05,131.9832402234637
6.973333333333368e-05,7.257222222222223e-05,132.3
6.393333333333343e-05,7.24831615120275e-05,132.19424460431654
7.546666666666627e-05,7.251360544217686e-05,131.9832402234637
7.806666666666703e-05,7.256969696969697e-05,131.9832402234637
6.906666666666635e-05,7.253466666666666e-05,132.08865814696486
7.739999999999969e-05,7.258283828382838e-05,132.08865814696486
7.680000000000001e-05,7.262418300653594e-05,131.9832402234637
6.839999999999994e-05,7.25831715210356e-05,131.9832402234637
7.293333333333411e-05,7.258653846153846e-05,132.19424460431654
7.680000000000001e-05,7.262666666666667e-05,132.08865814696486
6.519999999999951e-05,7.255660377358491e-05,132.08865814696486
6.833333333333321e-05,7.251713395638629e-05,132.08865814696486
7.746666666666643e-05,7.256296296296295e-05,132.08865814696486
7.540000000000046e-05,7.258899082568807e-05,131.9832402234637
6.313333333333356e-05,7.25030303030303e-05,132.08865814696486
6.886666666666615e-05,7.247027027027026e-05,131.9832402234637
7.746666666666735e-05,7.251488095238095e-05,131.9832402234637
6.519999999999951e-05,7.245014749262537e-05,131.9832402234637
6.306666666666683e-05,7.236783625730993e-05,131.9832402234637
8.773333333333318e-05,7.250144927536232e-05,131.9832402234637
7.753333333333316e-05,7.25448275862069e-05,132.08865814696486
6.380000000000089e-05,7.247008547008548e-05,131.9832402234637
7.4533333333332e-05,7.248757062146893e-05,131.9832402234637
5.873333333333471e-05,7.237198879551822e-05,131.9832402234637
7.606666666666503e-05,7.240277777777777e-05,131.9832402234637
6.946666666666767e-05,7.237851239669422e-05,132.08865814696486
8.259999999999934e-05,7.246229508196721e-05,132.08865814696486
7.10000000000007e-05,7.245040650406504e-05,131.9832402234637
7.106666666666743e-05,7.243924731182797e-05,131.9832402234637
7.179999999999964e-05,7.243413333333334e-05,131.9832402234637
7.686666666666582e-05,7.246931216931217e-05,132.08865814696486
7.600000000000014e-05,7.249711286089239e-05,131.9832402234637
5.2066666666666925e-05,7.23375e-05,131.9832402234637
8.259999999999934e-05,7.24170542635659e-05,131.9832402234637
6.606666666666797e-05,7.236820512820513e-05,131.9832402234637
8.09999999999996e-05,7.243409669211196e-05,131.9832402234637
7.186666666666638e-05,7.242979797979798e-05,131.9832402234637
6.693333333333366e-05,7.238847117794487e-05,131.9832402234637
8.006666666666717e-05,7.244577114427862e-05,131.9832402234637
7.279999999999879e-05,7.24483950617284e-05,131.9832402234637
6.613333333333286e-05,7.240196078431372e-05,131.9832402234637
7.019999999999989e-05,7.238588807785888e-05,131.9832402234637
9.42000000000017e-05,7.254396135265701e-05,131.9832402234637
3.9533333333332164e-05,7.230647482014389e-05,131.9832402234637
8.746666666666718e-05,7.241476190476191e-05,131.9832402234637
7.686666666666582e-05,7.244633569739953e-05,132.08865814696486
7.10000000000007e-05,7.243615023474178e-05,131.9832402234637
5.560000000000009e-05,7.231841491841493e-05,131.9832402234637
7.95333333333333e-05,7.236851851851852e-05,131.9832402234637
7.600000000000014e-05,7.239356321839081e-05,131.9832402234637
6.619999999999959e-05,7.235114155251142e-05,131.9832402234637
7.593333333333341e-05,7.237551020408163e-05,131.9832402234637
6.046666666666608e-05,7.229504504504504e-05,131.9832402234637
7.686666666666768e-05,7.232572706935124e-05,131.9832402234637
7.013333333333316e-05,7.231111111111112e-05,131.9832402234637
7.113333333333416e-05,7.230331125827816e-05,131.9832402234637
7.106666666666557e-05,7.22951754385965e-05,132.08865814696486
7.493333333333426e-05,7.23124183006536e-05,131.9832402234637
5.766666666666513e-05,7.221731601731601e-05,131.9832402234637
7.106666666666743e-05,7.220989247311829e-05,131.9832402234637
8.066666666666593e-05,7.226410256410257e-05,131.9832402234637
6.533333333333391e-05,7.221995753715499e-05,131.9832402234637
7.480000000000079e-05,7.223628691983123e-05,131.9832402234637
6.733333333333221e-05,7.220545073375263e-05,131.9832402234637
7.586666666666668e-05,7.222833333333333e-05,131.9832402234637
6.99999999999997e-05,7.22144927536232e-05,131.9832402234637
7.31333333333343e-05,7.22201646090535e-05,131.9832402234637
6.63999999999998e-05,7.218445807770962e-05,131.9832402234637
8.726666666666697e-05,7.227642276422765e-05,131.9832402234637
6.846666666666667e-05,7.225333333333333e-05,131.9832402234637
6.219999999999929e-05,7.219277108433735e-05,131.9832402234637
7.786666666666682e-05,7.222674650698602e-05,131.9832402234637
7.786666666666682e-05,7.226031746031746e-05,131.9832402234637
6.173333333333401e-05,7.219802761341224e-05,131.9832402234637
7.466666666666547e-05,7.221254901960784e-05,131.9832402234637
6.173333333333401e-05,7.215126705653022e-05,131.87799043062202
6.886666666666708e-05,7.213217054263567e-05,131.9832402234637
8.473333333333296e-05,7.220500963391138e-05,131.9832402234637
6.533333333333391e-05,7.216551724137932e-05,132.08865814696486
6.99999999999997e-05,7.215314285714286e-05,131.9832402234637
7.786666666666682e-05,7.218560606060607e-05,131.9832402234637
6.533333333333205e-05,7.214689265536724e-05,131.9832402234637
6.186666666666747e-05,7.208913857677903e-05,131.9832402234637
7.679999999999909e-05,7.211545623836127e-05,131.9832402234637
8.480000000000155e-05,7.218592592592594e-05,131.9832402234637
6.759999999999914e-05,7.216058931860038e-05,132.08865814696486
6.993333333333296e-05,7.214835164835165e-05,131.9832402234637
5.5000000000001344e-05,7.205464480874318e-05,131.9832402234637
6.759999999999914e-05,7.203043478260869e-05,132.08865814696486
7.453333333333386e-05,7.204396396396396e-05,131.9832402234637
8.25333333333326e-05,7.210035842293906e-05,132.08865814696486
7.793333333333355e-05,7.213155080213904e-05,131.87799043062202
4.700000000000074e-05,7.199787234042554e-05,131.9832402234637
8.486666666666642e-05,7.206596119929454e-05,131.9832402234637
6.979999999999949e-05,7.20540350877193e-05,131.9832402234637
7.346666666666613e-05,7.206143106457242e-05,131.9832402234637
7.013333333333316e-05,7.205138888888888e-05,131.9832402234637
7.640000000000054e-05,7.207392055267703e-05,131.9832402234637
6.653333333333326e-05,7.204536082474227e-05,132.08865814696486
6.900000000000054e-05,7.20297435897436e-05,131.87799043062202
7.426666666666692e-05,7.204115646258505e-05,131.9832402234637
7.80000000000003e-05,7.207140439932319e-05,131.9832402234637
7.793333333333171e-05,7.21010101010101e-05,132.08865814696486
6.333333333333377e-05,7.20569514237856e-05,131.87799043062202
6.0866666666666475e-05,7.2001e-05,132.08865814696486
8.940000000000059e-05,7.208756218905472e-05,131.9832402234637
7.10000000000007e-05,7.208217821782179e-05,131.9832402234637
6.719999999999875e-05,7.205812807881774e-05,131.9832402234637
6.85333333333334e-05,7.204084967320261e-05,131.9832402234637
8.299999999999974e-05,7.209430894308943e-05,132.08865814696486
5.646666666666763e-05,7.201844660194175e-05,131.9832402234637
6.526666666666718e-05,7.198582930756844e-05,131.87799043062202
7.35999999999996e-05,7.199358974358975e-05,131.9832402234637
5.826666666666573e-05,7.192791068580542e-05,132.08865814696486
